@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %15s "ESR ring optics"
@ ORIGIN           %18s "5.09.03 Windows 64"
@ DATE             %08s "10/01/25"
@ TIME             %08s "15.36.40"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT               TILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "E01KS4"            "SEXTUPOLE"                 36.6920807               0.34                  0       -21.76743333                  0        15.53462104         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR35"           "DRIFT"                     36.7930807              0.101                  0       -21.85495546                  0        15.48421394         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0108"             "QUADRUPOLE"                37.6146806          0.8215999                  0       -22.56691759                  0        15.07416965         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR36"           "DRIFT"                     37.7096806              0.095                  0       -22.64924039                  0        15.02675702         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR37"           "DRIFT"                     37.8723806             0.1627                  0       -22.79022901                  0        14.94555666         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DX5"            "MONITOR"                   37.8723806              1e-12                  0       -22.79022901                  0        14.94555666         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR38"           "DRIFT"                     38.3023806               0.43                  0       -23.16284799                  0        14.73095215         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR39"           "DRIFT"                     38.3223806               0.02                  0       -23.18017911                  0        14.72097055         -2.0933334                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010301"        "SBEND"                    39.14008906       0.8177084625       0.1308333375       -23.86009067                  0        14.26774416       -2.224166738                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01KX5"            "HKICKER"                  39.14008906              1e-12                  0       -23.86009067                  0        14.26774416       -2.224166738                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010302"        "SBEND"                    39.95779753       0.8177084625       0.1308333375       -24.47506328                  0        13.72968973       -2.355000075                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010303"        "SBEND"                    40.77550599       0.8177084625       0.1308333375       -25.01458524                  0        13.11600419       -2.485833412                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010304"        "SBEND"                    41.59321445       0.8177084625       0.1308333375       -25.46943452                  0        12.43717725        -2.61666675                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010305"        "SBEND"                    42.41092291       0.8177084625       0.1308333375       -25.83183641                  0        11.70481208       -2.747500088                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010306"        "SBEND"                    43.22863138       0.8177084625       0.1308333375       -26.09559639                  0        10.93142694       -2.878333425                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010307"        "SBEND"                    44.04633984       0.8177084625       0.1308333375         -26.256206                  0         10.1302413       -3.009166763                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01KX6"            "HKICKER"                  44.04633984              1e-12                  0         -26.256206                  0         10.1302413       -3.009166763                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR010308"        "SBEND"                     44.8640483       0.8177084625       0.1308333375       -26.31091997                  0        9.314949779         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR40"           "DRIFT"                     47.0157483             2.1517                  0       -26.31434667                  0        7.163252508         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0109"             "QUADRUPOLE"                47.8503482          0.8345999                  0       -26.31567581                  0        6.328653666         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR41"           "DRIFT"                     47.9453482              0.095                  0        -26.3158271                  0        6.233653787         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR42"           "DRIFT"                     48.1080482             0.1627                  0       -26.31608621                  0        6.070953993         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DX6"            "MONITOR"                   48.1080482              1e-12                  0       -26.31608621                  0        6.070953993         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR43"           "DRIFT"                     48.2707482             0.1627                  0       -26.31634532                  0          5.9082542         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR44"           "DRIFT"                     48.3657482              0.095                  0       -26.31649661                  0         5.81325432         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0110"             "QUADRUPOLE"                49.1873481          0.8215999                  0       -26.31780505                  0        4.991655462         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR45"           "DRIFT"                     49.2823481              0.095                  0       -26.31795635                  0        4.896655582         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR46"           "DRIFT"                     49.4873481              0.205                  0       -26.31828282                  0        4.691655842         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E01DR47"           "DRIFT"                     54.1580473          4.6706992                  0       -26.32572116                  0       0.0209625653         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR00"           "DRIFT"                     58.8287465          4.6706992                  0       -26.33315949                  0       -4.649730712         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR01"           "DRIFT"                     59.0337465              0.205                  0       -26.33348597                  0       -4.854730452         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR02"           "DRIFT"                     59.1287465              0.095                  0       -26.33363726                  0       -4.949730331         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0201"             "QUADRUPOLE"                59.9503464          0.8215999                  0        -26.3349457                  0       -5.771329189         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR03"           "DRIFT"                     60.0453464              0.095                  0       -26.33509699                  0       -5.866329069         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR04"           "DRIFT"                     60.2080464             0.1627                  0        -26.3353561                  0       -6.029028863         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DX1"            "MONITOR"                   60.2080464              1e-12                  0        -26.3353561                  0       -6.029028863         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR05"           "DRIFT"                     60.3707464             0.1627                  0       -26.33561521                  0       -6.191728656         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR06"           "DRIFT"                     60.4657464              0.095                  0        -26.3357665                  0       -6.286728536         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0202"             "QUADRUPOLE"                61.3003463          0.8345999                  0       -26.33709565                  0       -7.121327377         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR07"           "DRIFT"                     63.4520463             2.1517                  0       -26.34052234                  0       -9.273024649         -3.1400001                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020101"        "SBEND"                    64.26975476       0.8177084625       0.1308333375       -26.28840544                  0        -10.0884863       -3.270833437                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02KX1"            "HKICKER"                  64.26975476              1e-12                  0       -26.28840544                  0        -10.0884863       -3.270833437                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020102"        "SBEND"                    65.08746323       0.8177084625       0.1308333375       -26.13034849                  0       -10.89017944       -3.401666775                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020103"        "SBEND"                    65.90517169       0.8177084625       0.1308333375       -25.86905317                  0       -11.66440075       -3.532500112                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020104"        "SBEND"                    66.72288015       0.8177084625       0.1308333375       -25.50898578                  0        -12.3979165        -3.66333345                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020105"        "SBEND"                    67.54058861       0.8177084625       0.1308333375       -25.05630093                  0       -13.07818874       -3.794166788                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020106"        "SBEND"                    68.35829708       0.8177084625       0.1308333375       -24.51873636                  0       -13.69358959       -3.925000125                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020107"        "SBEND"                    69.17600554       0.8177084625       0.1308333375       -23.90548062                  0       -14.23360005       -4.055833462                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02KX2"            "HKICKER"                  69.17600554              1e-12                  0       -23.90548062                  0       -14.23360005       -4.055833462                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DIPR020108"        "SBEND"                      69.993714       0.8177084625       0.1308333375       -23.22701609                  0       -14.68898972         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR08"           "DRIFT"                      70.013714               0.02                  0       -23.20971685                  0       -14.69902648         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR09"           "DRIFT"                      70.443714               0.43                  0        -22.8377833                  0       -14.91481673         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DX2"            "MONITOR"                    70.443714              1e-12                  0        -22.8377833                  0       -14.91481673         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR10"           "DRIFT"                      70.606414             0.1627                  0       -22.69705402                  0       -14.99646574         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR11"           "DRIFT"                      70.701414              0.095                  0       -22.61488266                  0       -15.04414033         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0203"             "QUADRUPOLE"                71.5230139          0.8215999                  0       -21.90423017                  0       -15.45645021         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR12"           "DRIFT"                     71.6240139              0.101                  0       -21.81686903                  0       -15.50713583         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02KS1"            "SEXTUPOLE"                 71.9640139               0.34                  0       -21.52278204                  0       -15.67776068         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR13"           "DRIFT"                     72.0650139              0.101                  0        -21.4354209                  0        -15.7284463         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0204"             "QUADRUPOLE"               72.68521385         0.62019995                  0       -20.89897167                  0       -16.03968607         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "Q0204"             "QUADRUPOLE"                73.3054138         0.62019995                  0       -20.36252243                  0       -16.35092585         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "E02DR14"           "DRIFT"                     73.4004138              0.095                  0       -20.28035107                  0       -16.39860044         -4.1866668                  0                  0                  0                  0          0          0                  0                  0 ""                 
