@ NAME             %19s "TRACK.OBS0001.P0001"
@ TYPE             %08s "TRACKOBS"
@ TITLE            %15s "ESR ring optics"
@ ORIGIN           %18s "5.09.03 Windows 64"
@ DATE             %08s "10/01/25"
@ TIME             %08s "18.55.24"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
          1        128                  0                  0                  0                  0        15938.08302                  0                  0        209.3975473
          1        129                  0                  0                  0                  0         16062.5993                  0                  0        209.3975473
          1        130                  0                  0                  0                  0        16187.11557                  0                  0        209.3975473
          1        131                  0                  0                  0                  0        16311.63184                  0                  0        209.3975473
          1        132                  0                  0                  0                  0        16436.14812                  0                  0        209.3975473
          1        133                  0                  0                  0                  0        16560.66439                  0                  0        209.3975473
          1        134                  0                  0                  0                  0        16685.18067                  0                  0        209.3975473
          1        135                  0                  0                  0                  0        16809.69694                  0                  0        209.3975473
          1        136                  0                  0                  0                  0        16934.21321                  0                  0        209.3975473
          1        137                  0                  0                  0                  0        17058.72949                  0                  0        209.3975473
          1        138                  0                  0                  0                  0        17183.24576                  0                  0        209.3975473
          1        139                  0                  0                  0                  0        17307.76203                  0                  0        209.3975473
          1        140                  0                  0                  0                  0        17432.27831                  0                  0        209.3975473
          1        141                  0                  0                  0                  0        17556.79458                  0                  0        209.3975473
          1        142                  0                  0                  0                  0        17681.31085                  0                  0        209.3975473
          1        143                  0                  0                  0                  0        17805.82713                  0                  0        209.3975473
          1        144                  0                  0                  0                  0         17930.3434                  0                  0        209.3975473
          1        145                  0                  0                  0                  0        18054.85968                  0                  0        209.3975473
          1        146                  0                  0                  0                  0        18179.37595                  0                  0        209.3975473
          1        147                  0                  0                  0                  0        18303.89222                  0                  0        209.3975473
          1        148                  0                  0                  0                  0         18428.4085                  0                  0        209.3975473
          1        149                  0                  0                  0                  0        18552.92477                  0                  0        209.3975473
          1        150                  0                  0                  0                  0        18677.44104                  0                  0        209.3975473
          1        151                  0                  0                  0                  0        18801.95732                  0                  0        209.3975473
          1        152                  0                  0                  0                  0        18926.47359                  0                  0        209.3975473
          1        153                  0                  0                  0                  0        19050.98986                  0                  0        209.3975473
          1        154                  0                  0                  0                  0        19175.50614                  0                  0        209.3975473
          1        155                  0                  0                  0                  0        19300.02241                  0                  0        209.3975473
          1        156                  0                  0                  0                  0        19424.53869                  0                  0        209.3975473
